DATAFLOW,FREQ: Frequency of observation,REF_AREA: Reference area,STAT_UNIT: Statistical Unit,SEX: Sex,NATL: Nationality,SECTOR: Sector,EDU_LEVEL: Education Level,EDU_INST: Educational Institutions,EXAM_STATUS: Examination Status,FIELD: Fields of Education and Training,GRADE: Grade,INTENSITY: Intensity,ISLAND: Island,JOB_TYPE: Job Type,MNQF_LEVEL: MNQF Level,QUAL: Qualification,SUBJECT: Subject,TRNG_INST_MOD: Training Institutions and Modalities,UNIT_MEASURE: Unit of measure,TIME_PERIOD: Time period,OBS_VALUE,TABLE_ID: Table ID,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
MV_MBS:YB_T0712(1.0),A: Annual,Sh: North Miladhunmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G2: Grade 2,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,284,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,N: South Miladhunmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC3: Higher secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G11: Grade 11,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,23,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,S: Addu City,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G4: Grade 4,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,445,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,K: Male' Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,SC: Special Classes,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,0,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,MV: Republic of Maldives,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G5: Grade 5,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,7433,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,GA: North Huvadhu Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC2: Lower secondary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G9: Grade 9,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,158,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,HDh: South Thiladhunmathi,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC02: Pre-primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_T: Total,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,1113,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,K: Male' Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC02: Pre-primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,UKG: UKG,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,269,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,R: North Maalhosmadulu,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G4: Grade 4,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,362,T0712,0: Units,0: Zero
MV_MBS:YB_T0712(1.0),A: Annual,F: North Nilandhe Atoll,STU: Students,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,ISC1: Primary education,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,G4: Grade 4,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,_Z: Not applicable,PS: Persons,2020,105,T0712,0: Units,0: Zero
